product_id,name,category,price,cost
1,Apparel-Item-1,Apparel,142.55,66.16
2,Apparel-Item-2,Apparel,55.59,115.22
3,Apparel-Item-3,Apparel,424.51,181.91
4,Electronics-Item-4,Electronics,366.22,161.8
5,Home & Living-Item-5,Home & Living,44.01,89.37
6,Beauty-Item-6,Beauty,443.3,109.77
7,Groceries-Item-7,Groceries,353.76,15.66
8,Groceries-Item-8,Groceries,387.67,295.6
9,Groceries-Item-9,Groceries,433.91,115.28
10,Home & Living-Item-10,Home & Living,319.66,110.72
11,Apparel-Item-11,Apparel,180.86,201.71
12,Electronics-Item-12,Electronics,306.52,53.0
13,Groceries-Item-13,Groceries,85.88,115.08
14,Beauty-Item-14,Beauty,113.71,98.64
15,Electronics-Item-15,Electronics,118.38,11.57
16,Apparel-Item-16,Apparel,203.58,21.72
17,Beauty-Item-17,Beauty,438.8,95.77
18,Home & Living-Item-18,Home & Living,200.84,274.54
19,Home & Living-Item-19,Home & Living,75.72,43.61
20,Beauty-Item-20,Beauty,271.79,224.61
21,Home & Living-Item-21,Home & Living,449.42,121.02
22,Groceries-Item-22,Groceries,498.68,43.22
23,Home & Living-Item-23,Home & Living,50.0,16.04
24,Electronics-Item-24,Electronics,80.66,49.67
25,Home & Living-Item-25,Home & Living,300.22,116.66
26,Beauty-Item-26,Beauty,498.08,159.68
27,Beauty-Item-27,Beauty,431.09,5.42
28,Electronics-Item-28,Electronics,342.45,162.02
29,Apparel-Item-29,Apparel,385.46,103.37
30,Apparel-Item-30,Apparel,220.21,137.21
31,Apparel-Item-31,Apparel,486.08,229.06
32,Beauty-Item-32,Beauty,456.75,261.41
33,Apparel-Item-33,Apparel,421.63,153.28
34,Groceries-Item-34,Groceries,80.66,229.23
35,Beauty-Item-35,Beauty,476.98,276.89
36,Electronics-Item-36,Electronics,301.48,147.6
37,Electronics-Item-37,Electronics,464.9,263.86
38,Apparel-Item-38,Apparel,123.53,73.78
39,Beauty-Item-39,Beauty,473.74,27.52
40,Home & Living-Item-40,Home & Living,408.93,293.44
