ticket_id,store_id,issue_type,date,resolved_in_hours
1,5,Other,2026-05-22,69.8
2,3,Product Defect,2026-04-28,92.9
3,6,Refund Request,2026-03-07,46.4
4,1,Billing Issue,2026-04-22,89.5
5,12,Other,2026-04-23,92.5
6,8,Billing Issue,2026-06-06,87.2
7,8,Delivery Delay,2026-06-14,34.3
8,4,Delivery Delay,2026-03-14,67.6
9,8,Other,2026-05-05,89.0
10,12,Refund Request,2026-03-21,10.2
11,3,Product Defect,2026-04-18,58.0
12,3,Refund Request,2026-03-04,37.8
13,2,Billing Issue,2026-06-13,12.6
14,6,Delivery Delay,2026-04-04,83.8
15,1,Product Defect,2026-05-29,36.6
16,11,Delivery Delay,2026-05-22,19.1
17,6,Refund Request,2026-07-16,95.8
18,1,Other,2026-03-02,20.4
19,6,Billing Issue,2026-06-30,30.3
20,3,Refund Request,2026-06-05,69.5
21,6,Billing Issue,2026-03-06,40.8
22,7,Product Defect,2026-07-03,92.3
23,8,Delivery Delay,2026-03-15,62.7
24,6,Billing Issue,2026-03-16,79.3
25,6,Product Defect,2026-06-29,9.5
26,10,Billing Issue,2026-07-06,88.1
27,10,Refund Request,2026-05-09,16.7
28,4,Refund Request,2026-06-14,42.7
29,9,Billing Issue,2026-05-24,27.1
30,8,Delivery Delay,2026-07-01,48.7
31,6,Delivery Delay,2026-02-02,51.7
32,3,Product Defect,2026-06-03,87.1
33,7,Billing Issue,2026-06-26,56.3
34,5,Refund Request,2026-04-16,19.7
35,7,Delivery Delay,2026-07-01,28.2
36,6,Delivery Delay,2026-02-18,67.8
37,8,Billing Issue,2026-03-14,7.9
38,4,Refund Request,2026-02-13,50.8
39,6,Delivery Delay,2026-07-23,88.6
40,8,Product Defect,2026-06-27,8.2
41,6,Refund Request,2026-04-02,64.3
42,8,Delivery Delay,2026-04-12,4.5
43,2,Product Defect,2026-03-05,67.1
44,6,Product Defect,2026-04-19,51.7
45,8,Billing Issue,2026-06-17,87.4
46,8,Delivery Delay,2026-06-09,37.5
47,4,Refund Request,2026-06-20,50.7
48,5,Product Defect,2026-07-23,58.5
49,6,Other,2026-02-18,82.5
50,6,Refund Request,2026-06-27,69.6
51,12,Refund Request,2026-02-11,66.2
52,6,Product Defect,2026-06-16,16.2
53,7,Product Defect,2026-01-31,59.9
54,9,Other,2026-02-24,18.4
55,2,Refund Request,2026-03-30,67.0
56,6,Refund Request,2026-06-02,14.1
57,6,Billing Issue,2026-07-07,49.7
58,6,Billing Issue,2026-04-19,10.6
59,6,Other,2026-04-03,6.3
60,6,Billing Issue,2026-02-24,48.8
61,6,Other,2026-06-19,80.0
62,8,Billing Issue,2026-07-20,11.3
63,8,Delivery Delay,2026-06-20,39.3
64,4,Other,2026-06-03,85.9
65,10,Other,2026-02-18,92.4
66,8,Billing Issue,2026-02-09,76.6
67,6,Refund Request,2026-03-15,82.8
68,5,Billing Issue,2026-06-08,32.5
69,1,Product Defect,2026-06-22,21.7
70,8,Product Defect,2026-06-23,91.5
71,9,Delivery Delay,2026-02-17,12.0
72,12,Refund Request,2026-05-26,95.7
73,4,Other,2026-02-08,82.7
74,11,Product Defect,2026-02-09,95.1
75,6,Product Defect,2026-04-30,40.1
76,5,Product Defect,2026-02-21,95.3
77,3,Product Defect,2026-04-25,63.7
78,5,Product Defect,2026-02-17,76.3
79,8,Product Defect,2026-07-12,82.4
80,6,Other,2026-07-15,27.5
81,8,Refund Request,2026-07-03,79.8
82,8,Billing Issue,2026-02-08,31.6
83,10,Refund Request,2026-06-28,63.4
84,3,Product Defect,2026-07-26,85.5
85,8,Product Defect,2026-04-22,18.4
86,6,Other,2026-05-17,64.4
87,6,Other,2026-03-30,63.7
88,5,Delivery Delay,2026-05-10,70.7
89,8,Delivery Delay,2026-04-28,31.9
90,11,Delivery Delay,2026-06-15,90.1
91,8,Refund Request,2026-07-07,42.2
92,1,Delivery Delay,2026-07-10,55.2
93,3,Refund Request,2026-04-11,27.5
94,11,Delivery Delay,2026-03-04,69.8
95,11,Product Defect,2026-02-28,32.2
96,10,Billing Issue,2026-04-29,77.7
97,6,Billing Issue,2026-07-29,78.3
98,8,Refund Request,2026-06-16,42.9
99,6,Delivery Delay,2026-07-11,60.5
100,8,Delivery Delay,2026-06-25,70.5
101,8,Product Defect,2026-05-12,8.9
102,8,Other,2026-05-28,72.7
103,6,Other,2026-04-17,45.5
104,11,Billing Issue,2026-04-17,5.4
105,9,Billing Issue,2026-06-04,9.0
106,6,Billing Issue,2026-03-28,23.7
107,12,Product Defect,2026-06-26,43.2
108,5,Delivery Delay,2026-04-03,92.2
109,11,Other,2026-03-15,60.4
110,10,Billing Issue,2026-04-30,24.3
111,8,Other,2026-02-01,67.1
112,8,Delivery Delay,2026-02-25,10.6
113,5,Refund Request,2026-05-11,19.7
114,9,Other,2026-02-16,33.5
115,6,Delivery Delay,2026-06-22,6.3
116,6,Other,2026-07-12,35.1
117,8,Refund Request,2026-03-27,77.9
118,1,Refund Request,2026-03-07,62.2
119,2,Billing Issue,2026-07-28,68.8
120,8,Product Defect,2026-04-13,93.0
121,7,Billing Issue,2026-05-12,31.1
122,6,Billing Issue,2026-04-18,30.0
123,7,Other,2026-04-05,88.8
124,8,Billing Issue,2026-06-08,38.3
125,4,Billing Issue,2026-02-03,95.1
126,1,Refund Request,2026-07-21,4.2
127,6,Refund Request,2026-05-10,67.7
128,8,Product Defect,2026-07-20,57.4
129,5,Refund Request,2026-03-07,42.1
130,6,Billing Issue,2026-04-08,9.4
131,11,Refund Request,2026-06-24,55.5
132,5,Product Defect,2026-05-08,21.4
133,4,Other,2026-04-01,69.6
134,6,Refund Request,2026-05-01,12.4
